date,year,month,county,mean_rainfall_mm,source_file,rainfall_3_month_total,rainfall_6_month_total,rainfall_3_month_avg,rainfall_6_month_avg
2019-01-01,2019,1,Baringo,7.184619,chirps-v2.0.2019.01.tif,7.184618949890137,7.184618949890137,7.184618949890137,7.184618949890137
2019-02-01,2019,2,Baringo,4.4092903,chirps-v2.0.2019.02.tif,11.59390926361084,11.59390926361084,5.79695463180542,5.79695463180542
2019-03-01,2019,3,Baringo,17.688416,chirps-v2.0.2019.03.tif,29.28232479095459,29.28232479095459,9.760774930318197,9.760774930318197
2019-04-01,2019,4,Baringo,40.91878,chirps-v2.0.2019.04.tif,63.01648712158203,70.20110607147217,21.00549570719401,17.550276517868042
2019-05-01,2019,5,Baringo,29.830008,chirps-v2.0.2019.05.tif,88.43720436096191,100.03111362457275,29.479068120320637,20.00622272491455
2019-06-01,2019,6,Baringo,72.692665,chirps-v2.0.2019.06.tif,143.44145393371582,172.7237787246704,47.81381797790527,28.787296454111736
2019-07-01,2019,7,Baringo,64.74567,chirps-v2.0.2019.07.tif,167.2683391571045,230.28482627868652,55.756113052368164,38.38080437978109
2019-08-01,2019,8,Baringo,70.05252,chirps-v2.0.2019.08.tif,207.49085235595703,295.92805671691895,69.16361745198567,49.32134278615316
2019-09-01,2019,9,Baringo,32.34783,chirps-v2.0.2019.09.tif,167.1460189819336,310.5874729156494,55.71533966064453,51.7645788192749
2019-10-01,2019,10,Baringo,63.26047,chirps-v2.0.2019.10.tif,165.66082382202148,332.929162979126,55.22027460734049,55.48819382985433
2019-11-01,2019,11,Baringo,51.63457,chirps-v2.0.2019.11.tif,147.2428741455078,354.73372650146484,49.0809580485026,59.12228775024414
2019-12-01,2019,12,Baringo,58.612846,chirps-v2.0.2019.12.tif,173.5078887939453,340.6539077758789,57.8359629313151,56.77565129597982
2020-01-01,2020,1,Baringo,20.164928,chirps-v2.0.2020.01.tif,130.41234588623047,296.07316970825195,43.47078196207682,49.34552828470866
2020-02-01,2020,2,Baringo,13.084544,chirps-v2.0.2020.02.tif,91.86231899261475,239.10519313812256,30.62077299753825,39.850865523020424
2020-03-01,2020,3,Baringo,79.03617,chirps-v2.0.2020.03.tif,112.28564357757568,285.793532371521,37.428547859191895,47.6322553952535
2020-04-01,2020,4,Baringo,101.12289,chirps-v2.0.2020.04.tif,193.24360179901123,323.6559476852417,64.41453393300374,53.94265794754028
2020-05-01,2020,5,Baringo,61.339813,chirps-v2.0.2020.05.tif,241.49887084960938,333.3611898422241,80.49962361653645,55.56019830703735
2020-06-01,2020,6,Baringo,78.555305,chirps-v2.0.2020.06.tif,241.01800537109375,353.30364894866943,80.33933512369792,58.88394149144491
2020-07-01,2020,7,Baringo,100.25511,chirps-v2.0.2020.07.tif,240.15023040771484,433.3938322067261,80.05007680257161,72.23230536778767
