month,national_beans_price_per_kg,national_maize_price_per_kg,national_rice_price_per_kg,national_staple_price_per_kg,national_maize_price_per_kg_3_month_avg,national_maize_price_per_kg_6_month_avg,national_beans_price_per_kg_3_month_avg,national_beans_price_per_kg_6_month_avg,national_rice_price_per_kg_3_month_avg,national_rice_price_per_kg_6_month_avg,national_staple_price_per_kg_3_month_avg,national_staple_price_per_kg_6_month_avg
2006-01-01,38.58765432098765,17.775833333333335,,28.181743827160496,17.775833333333335,17.775833333333335,38.58765432098765,38.58765432098765,,,28.181743827160496,28.181743827160496
2006-02-01,41.25938271604938,18.74101851851852,,30.00020061728395,18.258425925925927,18.258425925925927,39.92351851851852,39.92351851851852,,,29.090972222222224,29.090972222222224
2006-03-01,45.745864197530864,18.266916666666667,,32.00639043209877,18.261256172839506,18.261256172839506,41.864300411522635,41.864300411522635,,,30.062778292181076,30.062778292181076
2006-04-01,46.72481481481481,19.79111111111111,,33.257962962962964,18.933015432098767,18.64371990740741,44.57668724279836,43.07942901234568,,,31.75485133744856,30.861574459876543
2006-05-01,47.07475308641975,20.242858585858585,,33.658805836139166,19.43362878787879,18.963547643097645,46.51514403292182,43.87849382716049,,,32.9743864104003,31.42102073512907
2006-06-01,36.96240740740741,19.836814814814815,,28.399611111111113,19.956928170594836,19.109092171717172,43.58732510288066,42.725812757201645,,,31.77212663673775,30.917452464459412
2006-07-01,34.39320987654321,19.664343434343433,,27.028776655443323,19.914672278338944,19.423843855218852,39.47679012345679,42.02673868312757,,,29.695731200897868,30.725291269173216
2006-08-01,30.96401234567901,18.249259259259258,,24.606635802469135,19.250139169472504,19.341883978675643,34.10654320987654,40.31084362139918,,,26.678341189674523,29.826363800037413
2006-09-01,33.9966049382716,16.669777777777778,,25.333191358024692,18.194460157126823,19.075694163860828,33.117942386831274,38.352633744855964,,,25.656201271979047,28.714163954358398
2006-10-01,34.48425925925926,16.880252525252526,,25.682255892255895,17.26642985409652,18.59055106621773,33.148292181069955,36.31254115226337,,,25.207361017583242,27.451546109240553
2006-11-01,34.60098765432099,17.333030303030302,,25.967008978675644,16.9610202020202,18.105579685746353,34.36061728395062,34.23358024691358,,,25.660818742985413,26.169579966329966
2006-12-01,34.613765432098766,16.797425925925925,,25.705595679012347,17.00356958473625,17.599014870931537,34.56633744855967,33.84213991769548,,,25.78495351664796,25.720577394313505
2007-01-01,35.56395061728395,15.798611111111112,,25.681280864197532,16.643022446689113,16.954726150392815,34.92623456790124,34.0372633744856,,,25.784628507295178,25.495994762439206
2007-02-01,34.10382716049383,15.946398148148148,,25.02511265432099,16.18081172839506,16.570915965207632,34.760514403292184,34.5605658436214,,,25.470663065843624,25.565740904414515
2007-03-01,34.31355555555555,14.674787037037037,,24.494171296296294,15.473265432098765,16.23841750841751,34.660444444444444,34.61339094650206,,,25.066854938271604,25.42590422745978
2007-04-01,35.69728395061728,14.84762962962963,,25.272456790123456,15.15627160493827,15.899647025813692,34.70488888888889,34.81556172839506,,,24.93058024691358,25.357604377104376
2007-05-01,35.44597530864198,16.100313131313133,,25.773144219977553,15.2075765993266,15.69419416386083,35.15227160493827,34.95639300411523,,,25.179924102132432,25.325293583988028
2007-06-01,35.89288888888889,16.15431313131313,,26.02360101010101,15.700751964085299,15.587008698092033,35.67871604938272,35.169580246913576,,,25.68973400673401,25.378294472502805
2007-07-01,37.779345679012344,15.960929292929292,,26.87013748597082,16.07185185185185,15.614061728395063,36.372736625514406,35.53881275720165,,,26.22229423868313,25.576437242798352
2007-08-01,37.61622222222222,16.277464646464647,,26.946843434343435,16.130902356902357,15.669239478114477,37.096152263374485,36.124211934156385,,,26.613527310138423,25.896725706135427
2007-09-01,37.834074074074074,16.018074074074075,,26.926074074074073,16.085489337822676,15.893120650953984,37.743213991769544,36.71096502057613,,,26.91435166479611,26.302042835765054
2007-10-01,37.16658024691358,15.930166666666667,,26.548373456790124,16.075235129068464,16.073543490460157,37.53895884773663,36.955847736625515,,,26.807096988402545,26.514695613542838
2007-11-01,39.52395061728395,16.122464646464646,,27.823207631874297,16.023568462401794,16.077235409652076,38.174868312757205,37.63551028806584,,,27.099218387579498,26.856372848858964
2007-12-01,42.855543209876544,16.96662037037037,,29.911081790123458,16.33975056116723,16.21261994949495,39.848691358024695,38.795952674897116,,,28.094220959595958,27.504286312196033
2008-01-01,44.3875873015873,20.080716049382715,,32.23415167548501,17.723267022072577,16.89925107557052,42.2556937095826,39.89732627865961,,,29.989480365827585,28.39828867711506
2008-02-01,51.51097222222222,18.599393939393938,,35.05518308080808,18.548910119715675,17.286239291058738,46.25136757789536,42.213117945326275,,,32.40013884880551,29.749678618192505
2008-03-01,55.721805555555555,19.193838383838383,,37.457821969696965,19.29131612420501,17.81553334268612,50.5401216931217,45.19440652557319,,,34.915718908663344,31.50496993412965
2008-04-01,58.61326666666666,20.541282051282053,,39.57727435897436,19.444838124838125,18.584052573455352,55.28201481481481,48.76885426219871,,,37.363426469826464,33.67645341782703
2008-05-01,59.083955555555555,25.834518518518518,,42.459237037037035,21.85654631787965,20.202728218797663,57.80634259259259,52.02885508524397,,,39.83144445523612,36.11579165202082
2008-06-01,56.281955555555555,25.437583333333333,,40.859769444444446,23.93779463437797,21.614555379291488,57.99305925925925,54.26659047619048,,,40.96542694681861,37.94057292774098
2008-07-01,54.41488888888889,25.77010185185185,,40.09249537037037,25.680734567901236,22.562786346369677,56.5936,55.937807407407405,,,41.13716728395061,39.25029687688854
2008-08-01,53.43307777777778,26.165213675213675,,39.79914572649573,25.79096628679962,23.823756302339635,54.709974074074076,56.258158333333334,,,40.25047018043685,40.04095731783648
2008-09-01,55.178,26.92454700854701,,41.0512735042735,26.28662084520418,25.112207739791074,54.34198888888889,56.16752407407407,,,40.31430486704653,40.63986590693258
2008-10-01,57.52174444444445,28.58802777777778,,43.05488611111112,27.225929487179485,26.45333202754036,55.3776074074074,55.9856037037037,,,41.30176844729345,41.21946786562203
2008-11-01,55.900333333333336,29.559743589743587,,42.73003846153846,28.357439458689456,27.07420287274454,56.20002592592593,55.45499999999999,,,42.27873269230769,41.26460143637227
2008-12-01,55.089222222222226,29.19810185185185,,42.14366203703704,29.1152910731244,27.70095595916429,56.170433333333335,55.25621111111112,,,42.64286220322887,41.47858353513771
2009-01-01,57.24155555555556,29.532916666666665,,43.38723611111111,29.430254036087366,28.328091761633427,56.07703703703704,55.72732222222223,,,42.7536455365622,42.02770699192782
2009-02-01,58.34988888888889,30.97905982905983,,44.66447435897436,29.903359449192777,29.13039945394112,56.89355555555556,56.54679074074074,,,43.398457502374164,42.838595097340935
2009-03-01,56.98255555555555,32.08711111111111,,44.53483333333333,30.866362535612534,29.990826804368467,57.52466666666667,56.847550000000005,,,44.19551460113959,43.41918840218423
