county,date,mean_ndvi,ndvi_1_month_mean,ndvi_3_month_mean,ndvi_6_month_mean,ndvi_anomaly
Baringo,2019-01-01,0.4343804528396965,0.4343804528396965,0.4343804528396965,0.4343804528396965,-0.020150073269125157
Baringo,2019-02-01,0.3559286255639585,0.3559286255639585,0.3951545392018275,0.3951545392018275,-0.056827545487948994
Baringo,2019-03-01,0.3496267474541434,0.3496267474541434,0.3799786086192662,0.3799786086192662,-0.09180229667734646
Baringo,2019-04-01,0.354903286349506,0.354903286349506,0.35348621978920264,0.3737097780518261,-0.18778497952659595
Baringo,2019-05-01,0.4084624772548695,0.4084624772548695,0.370997503686173,0.38066031789243476,-0.18201061343436253
Baringo,2019-06-01,0.6454976757401899,0.6454976757401899,0.4696211464481885,0.42479987753372733,0.07873929417121794
Baringo,2019-07-01,0.6547442818672854,0.6547442818672854,0.5695681449541149,0.46152718237165885,0.0781075298364865
Baringo,2019-08-01,0.6201522097565063,0.6201522097565063,0.6401313891213272,0.5055644464037501,0.013074689701027875
Baringo,2019-09-01,0.5273369014089079,0.5273369014089079,0.6007444643442331,0.5351828053962108,-0.03901298664657449
Baringo,2019-10-01,0.5462160150317816,0.5462160150317816,0.5645683753990652,0.5670682601765901,0.013011531744287264
Baringo,2019-11-01,0.6117686333329646,0.6117686333329646,0.5617738499245514,0.6009526195229392,0.07433972724112137
Baringo,2019-12-01,0.641567773015671,0.641567773015671,0.5998508071268057,0.6002976357355195,0.13024414823403985
Baringo,2020-01-01,0.5633973400045097,0.5633973400045097,0.6055779154510484,0.5850731454250568,0.10886681389568803
Baringo,2020-02-01,0.5710644522565376,0.5710644522565376,0.5920098550922395,0.5768918525083954,0.15830828120463009
Baringo,2020-03-01,0.5266741552416417,0.5266741552416417,0.5537119825008964,0.576781394813851,0.08524511111015187
Baringo,2020-04-01,0.5781170412537335,0.5781170412537335,0.558618549583971,0.5820982325175097,0.03542877537763156
Baringo,2020-05-01,0.6639320884134453,0.6639320884134453,0.5895744283029402,0.5907921416975898,0.07345899772421327
Baringo,2020-06-01,0.6550532646395333,0.6550532646395333,0.632367464768904,0.5930397236349002,0.08829488307056133
Baringo,2020-07-01,0.6657452521143867,0.6657452521143867,0.6615768683891218,0.6100977089865464,0.08910850008358784
Baringo,2020-08-01,0.6739475548269409,0.6739475548269409,0.6649153571936203,0.6272448927482802,0.06687003477146247
Baringo,2020-09-01,0.6143610236414125,0.6143610236414125,0.6513512768609134,0.6418593708149087,0.048011135585930176
Baringo,2020-10-01,0.6098548536992286,0.6098548536992286,0.6327211440558607,0.6471490062224913,0.07665037041173428
Baringo,2020-11-01,0.6134842933479104,0.6134842933479104,0.6125667235628506,0.6387410403782354,0.0760553872560672
Baringo,2020-12-01,0.5181863691271834,0.5181863691271834,0.5805085053914408,0.6159298911261771,0.00686274434555223
Baringo,2021-01-01,0.4484525784770016,0.4484525784770016,0.5267077469840319,0.5797144455199463,-0.006077947631820069
Baringo,2021-02-01,0.3991240266984771,0.3991240266984771,0.455254324767554,0.5339105241652023,-0.013632144353430409
Baringo,2021-03-01,0.3877816142320289,0.3877816142320289,0.4117860731358358,0.4961472892636383,-0.053647429899460974
Baringo,2021-04-01,0.4417775499509472,0.4417775499509472,0.409561063627151,0.4681344053055914,-0.10091071592515477
Baringo,2021-05-01,0.5985260558643078,0.5985260558643078,0.476028406682428,0.46564136572499093,0.00805296517507581
Baringo,2021-06-01,0.4882197378848281,0.4882197378848281,0.509507781233361,0.4606469271845985,-0.07853864368414387
Baringo,2021-07-01,0.527518587562233,0.527518587562233,0.5380881271037896,0.47382459536547045,-0.04911816446856587
Baringo,2021-08-01,0.5517743951325706,0.5517743951325706,0.5225042401932106,0.49926632343781935,-0.05530312492290779
Baringo,2021-09-01,0.5674441162970634,0.5674441162970634,0.5489123663306223,0.5292100737819917,0.0010942282415810078
Baringo,2021-10-01,0.5365621679757686,0.5365621679757686,0.5519268931351342,0.5450075101194619,0.003357684688274243
