model,feature_count,accuracy,precision,recall,f1_score,roc_auc
Rainfall Only,5,0.8,0.5714285714285714,0.75,0.6486486486486487,0.8284438775510204
NDVI Only,5,0.8769230769230769,0.7222222222222222,0.8125,0.7647058823529411,0.9311224489795918
Rainfall + NDVI,10,0.8769230769230769,0.7,0.875,0.7777777777777778,0.9362244897959183
