date,analysis_period,county,max_ipc_phase,phase_3_plus_population,total_population,phase_3_plus_percentage
2023-07-01,Jul 2023,Turkana,4,358050,1023000,0.35
2023-07-01,Jul 2023,Wajir,4,261300,871000,0.3
2023-07-01,Jul 2023,West Pokot,3,67600,676000,0.1
2024-02-01,Feb 2024,Baringo,3,73300,733000,0.1
2024-02-01,Feb 2024,Embu,3,14050,281000,0.05
2024-02-01,Feb 2024,Garissa,3,185400,927000,0.2
2024-02-01,Feb 2024,Isiolo,4,63200,316000,0.2
2024-02-01,Feb 2024,Kajiado,3,63400,1268000,0.05
2024-02-01,Feb 2024,Kilifi,3,157700,1577000,0.1
2024-02-01,Feb 2024,Kitui,2,0,1230000,0.0
2024-02-01,Feb 2024,Kwale,4,141600,944000,0.15
2024-02-01,Feb 2024,Laikipia,3,56100,561000,0.1
2024-02-01,Feb 2024,Lamu,3,16700,167000,0.1
2024-02-01,Feb 2024,Makueni,3,156300,1042000,0.15
2024-02-01,Feb 2024,Mandera,4,191800,959000,0.2
2024-02-01,Feb 2024,Marsabit,4,103000,515000,0.2
2024-02-01,Feb 2024,Meru,3,39750,795000,0.05
2024-02-01,Feb 2024,Narok,3,64200,1284000,0.05
2024-02-01,Feb 2024,Nyeri,3,10250,205000,0.05
2024-02-01,Feb 2024,Samburu,4,52200,348000,0.15
2024-02-01,Feb 2024,Taita Taveta,2,0,364000,0.0
2024-02-01,Feb 2024,Tana River,3,52950,353000,0.15
2024-02-01,Feb 2024,Tharaka Nithi,3,8900,178000,0.05
2024-02-01,Feb 2024,Turkana,4,306900,1023000,0.3
2024-02-01,Feb 2024,Wajir,4,174200,871000,0.2
2024-02-01,Feb 2024,West Pokot,2,0,676000,0.0
2024-07-01,Jul 2024,Baringo,3,36650,733000,0.05
2024-07-01,Jul 2024,Embu,2,0,281000,0.0
2024-07-01,Jul 2024,Garissa,3,92700,927000,0.1
2024-07-01,Jul 2024,Isiolo,3,15800,316000,0.05
2024-07-01,Jul 2024,Kajiado,2,0,1268000,0.0
2024-07-01,Jul 2024,Kilifi,3,78850,1577000,0.05
2024-07-01,Jul 2024,Kitui,2,0,1230000,0.0
2024-07-01,Jul 2024,Kwale,3,47200,944000,0.05
2024-07-01,Jul 2024,Laikipia,3,28050,561000,0.05
2024-07-01,Jul 2024,Lamu,3,8350,167000,0.05
2024-07-01,Jul 2024,Makueni,3,52100,1042000,0.05
2024-07-01,Jul 2024,Mandera,3,95900,959000,0.1
