model,accuracy,f1_score,precision_high_risk,recall_high_risk
Logistic Regression + Food Prices,0.7846153846153846,0.6818181818181818,0.5357142857142857,0.9375
Random Forest + Food Prices,0.8461538461538461,0.7222222222222222,0.65,0.8125
XGBoost + Food Prices,0.8923076923076924,0.7878787878787878,0.7647058823529411,0.8125
