date,year,month,county,mean_rainfall_mm,source_file
2019-04-01,2019,4,Makueni,32.157345,chirps-v2.0.2019.04.tif
2019-04-01,2019,4,Mandera,32.382645,chirps-v2.0.2019.04.tif
2019-04-01,2019,4,Marsabit,42.36735,chirps-v2.0.2019.04.tif
2019-04-01,2019,4,Meru,68.07146,chirps-v2.0.2019.04.tif
2019-04-01,2019,4,Narok,77.127144,chirps-v2.0.2019.04.tif
2019-04-01,2019,4,Nyeri,100.52871,chirps-v2.0.2019.04.tif
2019-04-01,2019,4,Samburu,43.067593,chirps-v2.0.2019.04.tif
2019-04-01,2019,4,Taita Taveta,57.270973,chirps-v2.0.2019.04.tif
2019-04-01,2019,4,Tana River,18.728573,chirps-v2.0.2019.04.tif
2019-04-01,2019,4,Tharaka Nithi,61.713394,chirps-v2.0.2019.04.tif
2019-04-01,2019,4,Turkana,26.149664,chirps-v2.0.2019.04.tif
2019-04-01,2019,4,Wajir,45.679707,chirps-v2.0.2019.04.tif
2019-04-01,2019,4,West Pokot,35.57465,chirps-v2.0.2019.04.tif
2019-05-01,2019,5,Baringo,29.830008,chirps-v2.0.2019.05.tif
2019-05-01,2019,5,Embu,43.319553,chirps-v2.0.2019.05.tif
2019-05-01,2019,5,Garissa,22.553484,chirps-v2.0.2019.05.tif
2019-05-01,2019,5,Isiolo,3.6799283,chirps-v2.0.2019.05.tif
2019-05-01,2019,5,Kajiado,13.186199,chirps-v2.0.2019.05.tif
2019-05-01,2019,5,Kilifi,137.28633,chirps-v2.0.2019.05.tif
2019-05-01,2019,5,Kitui,12.217414,chirps-v2.0.2019.05.tif
2019-05-01,2019,5,Kwale,161.6905,chirps-v2.0.2019.05.tif
2019-05-01,2019,5,Laikipia,33.301453,chirps-v2.0.2019.05.tif
2019-05-01,2019,5,Lamu,125.964905,chirps-v2.0.2019.05.tif
2019-05-01,2019,5,Makueni,10.102253,chirps-v2.0.2019.05.tif
2019-05-01,2019,5,Mandera,24.655956,chirps-v2.0.2019.05.tif
2019-05-01,2019,5,Marsabit,12.96483,chirps-v2.0.2019.05.tif
2019-05-01,2019,5,Meru,41.189312,chirps-v2.0.2019.05.tif
2019-05-01,2019,5,Narok,39.176285,chirps-v2.0.2019.05.tif
2019-05-01,2019,5,Nyeri,81.76763,chirps-v2.0.2019.05.tif
2019-05-01,2019,5,Samburu,15.854125,chirps-v2.0.2019.05.tif
2019-05-01,2019,5,Taita Taveta,37.940525,chirps-v2.0.2019.05.tif
2019-05-01,2019,5,Tana River,14.022569,chirps-v2.0.2019.05.tif
2019-05-01,2019,5,Tharaka Nithi,35.74834,chirps-v2.0.2019.05.tif
2019-05-01,2019,5,Turkana,7.806092,chirps-v2.0.2019.05.tif
2019-05-01,2019,5,Wajir,19.949694,chirps-v2.0.2019.05.tif
2019-05-01,2019,5,West Pokot,32.091465,chirps-v2.0.2019.05.tif
2019-06-01,2019,6,Baringo,72.692665,chirps-v2.0.2019.06.tif
2019-06-01,2019,6,Embu,8.068131,chirps-v2.0.2019.06.tif
2019-06-01,2019,6,Garissa,5.417682,chirps-v2.0.2019.06.tif
2019-06-01,2019,6,Isiolo,0.93622947,chirps-v2.0.2019.06.tif
2019-06-01,2019,6,Kajiado,6.3915815,chirps-v2.0.2019.06.tif
2019-06-01,2019,6,Kilifi,33.56091,chirps-v2.0.2019.06.tif
2019-06-01,2019,6,Kitui,2.934999,chirps-v2.0.2019.06.tif
2019-06-01,2019,6,Kwale,27.190882,chirps-v2.0.2019.06.tif
2019-06-01,2019,6,Laikipia,53.306343,chirps-v2.0.2019.06.tif
2019-06-01,2019,6,Lamu,26.783705,chirps-v2.0.2019.06.tif
2019-06-01,2019,6,Makueni,2.44064,chirps-v2.0.2019.06.tif
2019-06-01,2019,6,Mandera,0.9861694,chirps-v2.0.2019.06.tif
