county,month,county_beans_price_per_kg,county_maize_price_per_kg,county_rice_price_per_kg,county_staple_price_per_kg,county_price_available,county_staple_items_available,county_maize_price_per_kg_3_month_avg,county_maize_price_per_kg_6_month_avg,county_beans_price_per_kg_3_month_avg,county_beans_price_per_kg_6_month_avg,county_rice_price_per_kg_3_month_avg,county_rice_price_per_kg_6_month_avg,county_staple_price_per_kg_3_month_avg,county_staple_price_per_kg_6_month_avg
Baringo,2015-01-01,104.0,42.0,,73.0,1,2,42.0,42.0,104.0,104.0,,,73.0,73.0
Baringo,2015-02-01,107.0,47.0,,77.0,1,2,44.5,44.5,105.5,105.5,,,75.0,75.0
Baringo,2015-03-01,112.0,38.0,,75.0,1,2,42.333333333333336,42.333333333333336,107.66666666666667,107.66666666666667,,,75.0,75.0
Baringo,2015-04-01,105.0,42.0,,73.5,1,2,42.333333333333336,42.25,108.0,107.0,,,75.16666666666667,74.625
Baringo,2015-05-01,106.0,45.0,,75.5,1,2,41.666666666666664,42.8,107.66666666666667,106.8,,,74.66666666666667,74.8
Baringo,2015-06-01,113.0,45.0,,79.0,1,2,44.0,43.166666666666664,108.0,107.83333333333333,,,76.0,75.5
Baringo,2015-07-01,105.0,44.0,,74.5,1,2,44.666666666666664,43.5,108.0,108.0,,,76.33333333333333,75.75
Baringo,2015-08-01,102.0,46.0,,74.0,1,2,45.0,43.333333333333336,106.66666666666667,107.16666666666667,,,75.83333333333333,75.25
Baringo,2015-09-01,102.0,44.0,,73.0,1,2,44.666666666666664,44.333333333333336,103.0,105.5,,,73.83333333333333,74.91666666666667
Baringo,2015-10-01,103.0,37.0,,70.0,1,2,42.333333333333336,43.5,102.33333333333333,105.16666666666667,,,72.33333333333333,74.33333333333333
Baringo,2015-11-01,94.0,39.0,,66.5,1,2,40.0,42.5,99.66666666666667,103.16666666666667,,,69.83333333333333,72.83333333333333
Baringo,2015-12-01,101.0,41.0,,71.0,1,2,39.0,41.833333333333336,99.33333333333333,101.16666666666667,,,69.16666666666667,71.5
Baringo,2016-01-01,108.0,41.0,,74.5,1,2,40.333333333333336,41.333333333333336,101.0,101.66666666666667,,,70.66666666666667,71.5
Baringo,2016-02-01,97.0,39.0,,68.0,1,2,40.333333333333336,40.166666666666664,102.0,100.83333333333333,,,71.16666666666667,70.5
Baringo,2016-03-01,96.0,40.0,,68.0,1,2,40.0,39.5,100.33333333333333,99.83333333333333,,,70.16666666666667,69.66666666666667
Baringo,2016-05-01,97.0,43.0,,70.0,1,2,40.666666666666664,40.5,96.66666666666667,98.83333333333333,,,68.66666666666667,69.66666666666667
Baringo,2016-06-01,90.0,39.0,,64.5,1,2,40.666666666666664,40.5,94.33333333333333,98.16666666666667,,,67.5,69.33333333333333
Baringo,2016-07-01,103.0,41.0,,72.0,1,2,41.0,40.5,96.66666666666667,98.5,,,68.83333333333333,69.5
Baringo,2016-08-01,94.0,41.0,,67.5,1,2,40.333333333333336,40.5,95.66666666666667,96.16666666666667,,,68.0,68.33333333333333
Baringo,2016-09-01,90.0,37.0,,63.5,1,2,39.666666666666664,40.166666666666664,95.66666666666667,95.0,,,67.66666666666667,67.58333333333333
Baringo,2016-10-01,98.0,43.0,,70.5,1,2,40.333333333333336,40.666666666666664,94.0,95.33333333333333,,,67.16666666666667,68.0
Baringo,2016-11-01,123.0,48.0,,85.5,1,2,42.666666666666664,41.5,103.66666666666667,99.66666666666667,,,73.16666666666667,70.58333333333333
Baringo,2016-12-01,106.0,48.0,,77.0,1,2,46.333333333333336,43.0,109.0,102.33333333333333,,,77.66666666666667,72.66666666666667
Baringo,2017-01-01,108.0,55.0,,81.5,1,2,50.333333333333336,45.333333333333336,112.33333333333333,103.16666666666667,,,81.33333333333333,74.25
Baringo,2017-02-01,112.0,52.0,,82.0,1,2,51.666666666666664,47.166666666666664,108.66666666666667,106.16666666666667,,,80.16666666666667,76.66666666666667
Baringo,2017-03-01,114.0,57.0,,85.5,1,2,54.666666666666664,50.5,111.33333333333333,110.16666666666667,,,83.0,80.33333333333333
Baringo,2017-04-01,127.0,62.0,,94.5,1,2,57.0,53.666666666666664,117.66666666666667,115.0,,,87.33333333333333,84.33333333333333
Baringo,2017-05-01,138.0,73.0,,105.5,1,2,64.0,57.833333333333336,126.33333333333333,117.5,,,95.16666666666667,87.66666666666667
Baringo,2017-06-01,129.0,81.0,,105.0,1,2,72.0,63.333333333333336,131.33333333333334,121.33333333333333,,,101.66666666666667,92.33333333333333
